stage	request_id	repeat	repeat_total	duration_ms	duration_s	success	turns	quality
pro_warm_up	20	2	50	12770.307	12.770307	False	1	0.474
pro_warm_up	20	3	50	10718.133	10.718133	False	1	0.133
pro_warm_up	20	4	50	12771.762	12.771762	False	1	0.133
pro_warm_up	20	5	50	10914.674	10.914674	False	1	0.133
pro_warm_up	20	6	50	13405.620	13.405620	False	1	0.133
pro_warm_up	21	1	50	15438.120	15.438120	False	1	0.133
pro_warm_up	21	2	50	13133.866	13.133866	False	1	0.133
pro_warm_up	21	3	50	14799.922	14.799922	True	1	0.749
pro_warm_up	21	4	50	3009.568	3.009568	False	1	0.133
pro_warm_up	21	5	50	20622.798	20.622798	False	1	0.45
pro_warm_up	21	6	50	12678.175	12.678175	False	1	0.133
pro_warm_up	21	7	50	15793.895	15.793895	False	1	0.432
pro_warm_up	21	8	50	12790.611	12.790611	True	1	0.768
pro_warm_up	21	9	50	13522.806	13.522806	False	1	0.133
pro_warm_up	21	10	50	15528.610	15.528610	False	1	0.486
pro_warm_up	21	11	50	14310.559	14.310559	False	1	0.133
pro_warm_up	21	12	50	11375.709	11.375709	False	1	0.133
pro_warm_up	21	13	50	2056.790	2.056790	False	1	0.133
pro_warm_up	22	1	50	15978.700	15.978700	False	1	0.406
pro_warm_up	22	2	50	17714.779	17.714779	False	1	0.419
pro_warm_up	22	3	50	22205.606	22.205606	False	1	0.412
pro_warm_up	22	4	50	2957.109	2.957109	False	1	0.419
pro_warm_up	22	5	50	18815.648	18.815648	False	1	0.407
pro_warm_up	22	6	50	10265.564	10.265564	False	1	0.133
pro_warm_up	22	7	50	2947.985	2.947985	False	1	0.419
pro_warm_up	23	1	50	15335.093	15.335093	False	1	0.484
pro_warm_up	23	2	50	17650.670	17.650670	False	1	0.419
pro_warm_up	23	3	50	16140.499	16.140499	False	1	0.448
pro_warm_up	23	4	50	14456.822	14.456822	False	1	0.452
pro_warm_up	23	5	50	11649.886	11.649886	False	1	0.133
pro_warm_up	23	6	50	13386.318	13.386318	False	1	0.339
pro_warm_up	24	1	50	13216.709	13.216709	False	1	0.401
pro_warm_up	24	2	50	19343.789	19.343789	False	1	0.364
pro_warm_up	24	3	50	3148.662	3.148662	False	1	0.133
pro_warm_up	24	4	50	13901.537	13.901537	True	1	0.773
pro_warm_up	24	5	50	14442.627	14.442627	False	1	0.381
pro_warm_up	24	6	50	18069.947	18.069947	False	1	0.395
pro_warm_up	24	7	50	10181.963	10.181963	False	1	0.499
pro_warm_up	24	8	50	2243.337	2.243337	False	1	0.133
pro_warm_up	24	9	50	16433.735	16.433735	False	1	0.462
pro_warm_up	25	1	50	15680.577	15.680577	False	1	0.133
pro_warm_up	25	2	50	6253.525	6.253525	False	1	0.408
pro_warm_up	25	3	50	17958.256	17.958256	False	1	0.363
pro_warm_up	25	4	50	17342.817	17.342817	False	1	0.377
pro_warm_up	25	5	50	2144.212	2.144212	False	1	0.408
pro_warm_up	25	6	50	17583.859	17.583859	False	1	0.408
pro_warm_up	25	7	50	2953.488	2.953488	False	1	0.408
pro_warm_up	26	1	50	8964.194	8.964194	False	1	0.133
pro_warm_up	26	2	50	17055.470	17.055470	False	1	0.445
pro_warm_up	26	3	50	17598.373	17.598373	False	1	0.473
pro_warm_up	26	4	50	32205.058	32.205058	False	1	0.509
pro_warm_up	26	5	50	12321.593	12.321593	False	1	0.48
pro_warm_up	26	6	50	13422.705	13.422705	False	1	0.422
pro_warm_up	26	7	50	17249.848	17.249848	False	1	0.516
pro_warm_up	26	8	50	15275.616	15.275616	False	1	0.355
pro_warm_up	26	9	50	4202.287	4.202287	False	1	0.133
pro_warm_up	27	1	50	14576.610	14.576610	False	1	0.133
pro_warm_up	27	2	50	12100.444	12.100444	False	1	0.133
pro_warm_up	27	3	50	11785.037	11.785037	False	1	0.133
pro_warm_up	27	4	50	18953.245	18.953245	False	1	0.423
pro_warm_up	27	5	50	1955.491	1.955491	False	1	0.133
